"","Customer_Name","Number_of_Rentals","Actor_Name"
"1","Patrick Newsom",6,"Sean Guiness"
"2","Julian Vest",6,"Sandra Kilmer"
"3","Clifford Bowens",6,"Val Bolger"
"4","Juanita Mason",6,"Matthew Carrey"
"5","Louise Jenkins",6,"Mary Keitel"
"6","Joyce Edwards",5,"Gina Degeneres"
"7","Travis Estep",5,"Gina Degeneres"
"8","Hazel Warren",5,"Henry Berry"
"9","Deborah Walker",5,"Henry Berry"
"10","Darlene Rose",5,"Mary Keitel"
"11","Veronica Stone",5,"Angela Witherspoon"
"12","Joshua Mark",5,"Matthew Carrey"
"13","Carole Barnett",5,"Angela Witherspoon"
"14","Everett Banda",5,"Gina Degeneres"
"15","Ralph Madrigal",5,"Sean Guiness"
"16","Justin Ngo",5,"Matthew Carrey"
"17","Felicia Sutton",5,"Walter Torn"
"18","Arnold Havens",5,"Sandra Kilmer"
"19","Wesley Bull",5,"Jayne Nolte"
"20","Bessie Morrison",5,"Matthew Carrey"
"21","Patricia Johnson",5,"Gina Degeneres"
"22","Chad Carbone",5,"Angela Witherspoon"
"23","Connie Wallace",5,"Sandra Kilmer"
"24","Jaime Nettles",5,"Gina Degeneres"
"25","Charles Kowalski",5,"Matthew Carrey"
"26","Salvador Teel",4,"Walter Torn"
"27","Veronica Stone",4,"Henry Berry"
"28","Darlene Rose",4,"Val Bolger"
"29","Karen Jackson",4,"Angela Witherspoon"
"30","Ana Bradley",4,"Mary Keitel"
"31","Christopher Greco",4,"Sean Guiness"
"32","Ken Prewitt",4,"Val Bolger"
"33","Gloria Cook",4,"Mary Keitel"
"34","Billy Poulin",4,"Angela Witherspoon"
"35","Lori Wood",4,"Matthew Carrey"
"36","Bertha Ferguson",4,"Walter Torn"
"37","Justin Ngo",4,"Gina Degeneres"
"38","Gail Knight",4,"Gina Degeneres"
"39","Christy Vargas",4,"Gina Degeneres"
"40","Linda Williams",4,"Jayne Nolte"
"41","Teresa Rogers",4,"Gina Degeneres"
"42","Bob Pfeiffer",4,"Jayne Nolte"
"43","Barry Lovelace",4,"Gina Degeneres"
"44","Mae Fletcher",4,"Gina Degeneres"
"45","Roy Whiting",4,"Gina Degeneres"
"46","Hector Poindexter",4,"Mary Keitel"
"47","Shawn Heaton",4,"Jayne Nolte"
"48","Sherri Rhodes",4,"Henry Berry"
